Name	SRR847690	SRR847691	SRR847692	SRR847693	SRR847694	SRR847695	SRR847696	SRR847697	SRR847698	SRR847699	SRR847700	SRR847701
Acta1	0.7872	0	0	0	0.1829	0	1.9666	0.1885	0	4.3398	3.6403	3.2451
Samd9l	5.3107	4.4029	5.3815	4.8637	4.3767	5.1547	2.189	2.5104	0	3.586	4.0326	4.0931
LOC100503202	0	0	2.4631	4.4568	4.1739	4.115	0	0	0	0	0	0
Gm5068	2.5292	0	1.8416	0.1633	3.1829	0.5109	4.9851	4.9886	4.6099	2.3107	0.1764	1.5081
Cd37	4.3673	4.2808	4.298	3.8728	3.9653	4.1651	0	0.1296	2.6114	2.3934	0	0.9231
Timp3	0.7872	1.9289	0.1412	2.1633	2.7679	1.5109	1.7036	1.1885	0.2894	3.4929	4.8102	4.6236
Ngfr	4.3721	4.3387	4.8961	3.7482	3.7679	3.3182	2.2476	0.1885	1.1613	3.9783	4.0326	3.7305
Rnf128	0.7872	0	0.1412	3.3332	2.5048	3.6808	2.189	2.5104	3.0968	3.0454	3.6403	4.2451
Cyr61	1.6708	1.4643	0	3.1633	3.3528	1.5109	2.44	2.627	0.2894	4.8478	3.9579	4.3305
Samd4	0	0	1.1412	0	0.1829	0	0.9666	0	0.2894	3.6735	3.9579	3.5081
Slc13a5	3.8873	3.7183	3.763	2.0817	1.9442	3.5306	0	1.1885	2.6114	0	0.9851	0.4188
Parva	0.7872	0	0	0.6793	0.1829	0	2.9666	3.5061	2.2894	3.5196	3.5472	3.6236
Gm5200	1.3721	2.6867	0	0.1633	2.7679	1.4891	2.5516	2.5104	0.2894	4.7153	4.4477	4.7806
Tpm2	0	0	1.0588	1.4021	0	0	0	2.5104	2.8744	3.8347	4.0692	3.0206
Tpm1	6.4114	5.3982	5.5674	6.8006	6.7906	7.2202	6.0651	6.3722	7.0779	8.8869	8.9359	9.3951
Prrg1	0	0	0	2.1633	1.1829	0	2.9666	2.7735	4.0968	1.9079	3.2253	1.5081
Cdkn1c	0	0	0	1.7482	1.7679	0.5109	2.5516	0	1.2894	2.9079	3.709	3.085
Slc25a24	1.7872	2.4643	1.6921	1.1633	2.1644	2.5109	3.0799	4.2666	4.3769	4.8784	4.9212	5.8315
Foxp1	6.3044	5.9589	6.0413	5.8778	6.3118	5.1547	1.452	2.4959	4.67	6.2299	5.6235	6.4595
9330159F19Rik	4.6451	4.5232	3.9485	3.6109	3.3512	2.0958	0	1.1885	2.2894	3.3934	3.8882	3.5081
NEWGENE26	0.7872	0	0	2.4852	2.5048	2.0958	2.7931	2.9772	4.5763	2.7623	1.2253	4.0891
Epha7	1.3032	0.8793	0	1.7482	0	2.4445	3.9319	4.0594	3.7285	3.4929	2.0813	3.0425
Zfp786	3.2296	3.3387	2.9485	2.7482	1.1829	2.6999	1.9666	2.5104	0.2894	0	0	0
Gulp1	0	0	0.1412	1.1633	0	0.5109	3.053	2.5018	4.0377	1.171	2.2253	1.9231
Igf2	1.1206	0	2.1412	1.7482	2.7679	2.0958	1.7036	2.7735	1.2894	4.3934	4.0997	4.1711
NEWGENE50	3.4471	2.5664	2.4631	3.1633	3.7667	3.2828	6.045	5.8144	5.9804	3.0349	0	2.7305
Fam115a	1.7872	2.142	1.7261	3.4852	2.7679	0.5109	4.7643	4.9892	5.1857	4.5742	5.3901	4.3687
Bnip3	3.2596	3.0364	3.4602	3.741	2.9903	3.5109	6.5214	6.5341	5.9689	3.8148	3.6403	3.2905
Fut9	2.1091	2.2012	2.4631	2.9706	2.1829	2.0958	5.5109	5.1584	5.3338	4.2865	4.4983	3.3826
Sema3e	1.7872	1.4643	1.8853	2.7237	2.8105	3.0862	4.7859	4.7638	4.6818	4.6521	4.9619	4.131
Id2	0.7872	1.8938	1.1412	1.1633	1.1829	1.5109	4.8002	4.3544	3.7489	4.1013	4.2253	3.9231
Dusp27	3.7872	4.2012	4.3111	3.7482	3.9903	2.5109	0.9666	0	2.2894	2.3934	0.6403	2.7264
Krt18	3.4876	4.1212	4.5266	4.4105	4.3472	4.7527	5.1567	4.5104	4.3769	7.2416	7.2582	6.67
Vegfa	4.9164	4.3156	4.1412	4.0702	3.5048	4.2113	5.5532	5.4111	5.3338	1.9079	2.4477	0
Fgfbp1	1.3721	3.1809	0.1412	2.4852	2.9903	1.5109	2.8411	2.1885	1.8744	4.3794	4.9622	4.3155
Gm9805	1.3721	1.1662	1.1412	3.3332	3.4032	2.8328	4.3133	3.539	4.7522	2.5605	3.0188	2.2451
Bcl11b	0	1.4643	0	1.1633	0.1829	0.5109	2.5516	3.5104	4.2894	0	2.2253	2.2451
NEWGENE63	0	1.7512	0	1.7482	0.1829	1.9223	3.6522	3.889	3.0968	2.7559	0.6403	0.9231
6330407J23Rik	5.0156	5.4095	4.8988	4.7887	3.7569	4.2113	2.3889	1.1885	2.8622	4.5586	4.5832	4.6845
Stxbp2	1.0259	0	1.1412	2.4736	0	1.5109	3.045	4.4189	3.5793	2.3747	2.8404	1.8262
Tgm3	3.7689	4.5162	3.8416	3.952	3.757	3.4981	0	0.1885	3.0741	2.7414	0.6258	1.5081
Ceacam1	3.3515	4.1454	3.4789	2.1156	2.1829	0.5109	2.558	2.5104	2.8864	0.586	0	1.5367
Taf9b	0	0.3852	0.1412	1.8593	1.139	0.5966	3.1578	3.1649	3.0271	2.7639	1.1102	1.7591
Jun	0	0	1.7261	3.7482	2.7679	3.0958	3.7036	3.3584	0.2894	3.7559	3.5472	3.2451
Nes	2.9571	0	2.624	2.7482	2.5048	2.0958	1.9399	1.7735	0.2894	4.9436	5.0666	4.3826
Cd47	0	0	0	1.1633	0	0	3.4391	2.5104	2.8549	1.171	0.6403	0.9231
Hs6st2	0	0	0	0	0	0.5109	0.9666	1.7735	3.0968	3.8339	2.2253	2.7305
NEWGENE9	3.3082	4.0492	2.9361	2.4619	1.6371	3.2636	0.3817	2.1259	2.3803	1.5271	0	0
Rps12	6.2121	8.9894	10.3025	10.5085	10.2025	9.9484	5.7528	5.3161	6.0376	5.6759	5.5753	5.4938
Jag2	0	0	1.7261	1.7482	1.4991	0	3.6985	3.4825	2.5822	4.0933	2.613	3.7284
LOC100504497	0	1.4643	0	0	0	0	2.3377	1.7735	3.223	3.6304	3.3408	3.1817
Fgfr2	2.3576	0	0.1412	1.1044	2.7679	1.5109	4.0011	4.276	2.8648	3.2042	3.4238	2.9177
Tap1	0.7872	0	0.1412	2.1633	1.7679	3.3182	3.0754	3.5018	2.9854	3.2865	1.6403	3.0931
Colec12	0	0.8279	2.7261	2.7482	1.1829	1.5109	4.0226	3.7638	3.9573	3.8979	4.7671	3.4997
Zfp521	0	0	0	1.1268	0.1829	0	2.189	1.1885	1.2894	3.0454	2.6403	2.9231
Zscan4a	0	0	0	0	0	0	3.8385	1.1396	3.6114	3.2865	3.3408	1.9231
Ccng2	4.1249	4.0804	4.0972	5.0391	4.5005	4.9039	6.9392	6.7549	7.1712	3.9115	3.4774	3.2159
Gas2	0.7055	0	1.7261	2.659	0.5048	3.2421	4.1074	4.7351	2.1509	2.6356	2.7712	3.4839
Trpc1	2.0975	1.8793	0.1412	2.9706	3.4976	3.4614	3.8246	4.6319	4.1692	3.486	2.9049	4.1534
Meis2	4.096	4.4565	4.2762	3.1396	3.8587	3.0862	2.5484	1.7735	0	0.586	2.5852	2.9231
Gm13128	2.1091	3.2012	3.1412	1.4852	1.1829	1.0958	1.3817	0	0	0	0	0
Bhlhe40	1.7872	1.7313	0.1412	2.4852	0	1.5109	3.8345	4.6577	3.6114	0	1.9622	2.0931
Prdm14	4.0989	3.6671	3.1412	2.7434	2.8833	1.867	2.9413	3.3568	2.2894	0	0	2.5081
Smyd1	2.9571	3.3387	2.7261	3.9817	2.9882	2.8183	1.3817	0.1885	0	0	0.6403	0
Vmn1r90	2.9571	0	0	2.1633	0.7679	0	3.4683	3.8347	2.4302	4.3494	3.5462	3.4379
Anxa2	0	0	0	0	0	0	1.7322	0.1885	1.8744	3.1418	2.2105	3.0241
Setbp1	0.7872	1.4643	0.1412	1.1633	1.7679	0.5109	2.1952	2.5104	3.5585	3.4929	3.4477	3.8262
Vmn1r-ps57	0.7872	0	1.7261	2.1633	1.1829	2.8328	3.774	3.6479	3.4594	2.586	3.3408	2.2451
Neurod1	0	1.3123	0.1412	2.5194	1.1829	0.5109	3.0799	3.5642	3.1633	0.586	1.0839	2.8146
Krt42	3.9849	3.7659	4.0091	3.724	4.3464	3.6663	0.9666	2.4841	0	1.5642	1.2205	1.4384
Rabgap1l	2.1379	1.8502	2.2455	4.0702	3.6423	2.827	5.132	4.5219	4.8882	3.7268	3.7745	4.0491
Ncl	9.1345	8.9218	8.6983	11.9165	11.6234	11.5122	7.8875	8.107	8.4908	8.5836	8.5013	9.0071
Raver2	2.2366	1.7939	0.1412	2.7636	2.5048	3.3182	4.6448	4.5281	3.2894	4.0454	3.7965	3.3747
Shisa4	0	2.1632	0.1412	2.1633	1.7239	1.5109	3.3488	4.084	3.0968	2.7559	1.8668	2.9213
Usp25	2.3721	0	3.1412	2.1883	3.6939	3.3182	4.6832	4.0896	4.5067	4.9051	4.8353	3.9901
Prx	3.1753	3.7515	3.0804	2.7482	3.8833	3.9703	1.7036	1.1885	0.2894	0.586	1.2253	0
Zscan4f	0	0	0	0	0	0	4.0232	2.5796	1.5714	1.7213	3.9622	1.545
Mthfsd	3.3212	2.672	2.4342	1.7482	3.1467	2.5109	0	0	0.2894	2.586	2.9283	2.3561
Sepp1	0.7872	0	0.1412	1.1633	0.1829	2.0958	3.0821	3.6479	2.2894	1.586	2.9622	2.5081
Ppp1r3b	2.9571	0	2.1412	2.1633	1.7679	1.5109	4.1365	4.9434	4.0968	2.9079	3.0997	1.9231
Ghr	0	0	0.1412	0	2.5048	0	0.3817	1.1885	2.6114	3.0454	2.4477	2.7243
Grid2	6.6046	7.0008	7.2259	6.8384	7.0056	7.0355	4.5109	4.5986	3.8404	3.8339	4.1626	4.7611
Efnb2	0.7872	1.4643	0.1412	0.1633	0.1829	0.5109	3.2885	2.1885	3.0968	3.3934	3.2253	3.83
Msrb3	0.7872	0	1.7261	2.1633	2.1829	2.5109	2.4691	0.2171	1.8744	2.9079	4.0326	3.6236
NEWGENE69	3.3685	3.6867	3.6982	3.1633	2.9903	3.3182	1.3817	1.1885	1.8744	0.586	0.6403	1.5081
Pik3ip1	1.3721	0	0.1412	1.7482	1.1829	0.5109	3.4691	2.7735	3.2894	0	0	1.9231
Fbxw4	0	1.4643	0.0519	2.4852	1.7679	1.5324	3.0821	2.7614	3.6876	2.577	2.4477	2.2451
Cd109	0	0	0.1412	0.1633	0	0	0	2.1259	3.2603	3.196	2.4353	2.5057
Nynrin	3.5945	3.572	4.3111	3.3332	3.6344	3.5109	2.7036	1.7735	1.8744	1.586	0	1.9231
Atp2b4	4.8618	4.2846	4.5801	3.3332	4.3615	3.6808	2.675	3.4945	0.2894	1.8847	1.9507	1.9231
Pkia	0	0	0.2655	0.1633	0.1829	0	2.7036	1.7735	0.2894	3.0454	2.4477	2.7305
Cdh2	0	0.8793	1.1412	2.1633	0.1829	2.0958	1.3562	1.1885	1.2894	3.0362	3.4507	3.4474
Rora	0	1.2523	0	0.1633	0.1829	0.5109	2.506	3.438	3.2117	1.0243	3.0997	1.4137
Nos1	2.7872	3.1736	1.9403	1.1633	0.1829	0	0	0	0	0	0	0.9231
Uggt2	0	0.344	0.1412	1.7434	1.6939	3.2636	2.6803	2.6427	3.0571	2.0109	3.032	2.3981
Usp36	3.5463	3.1543	2.9403	1.7482	0	0	2.7151	2.3227	2.2894	3.4929	2.9723	4.294
Slc6a1	3.2453	3.4472	2.1412	3.8637	3.7582	3.8328	0.9421	0	0	1.171	0	2.5081
Anxa1	2.758	2.8593	2.4631	2.7482	3.4932	3.8169	2.3635	2.4364	3.9821	5.816	4.6566	5.4762
Tmem98	1.7872	0	0	0.1633	1.7679	0.4216	3.3653	2.9876	3.2858	1.171	2.9565	2.4912
Vldlr	0	1.8793	1.7261	1.7482	0.1829	2.5109	3.1766	4.0867	4.1915	0.586	1.2253	0.9231
Fbxo44	3.2308	3.7071	4.2278	2.9582	2.7606	0.5109	3.3708	3.889	3.4594	2.3934	0	0.9231
Tspan2	0	1.4643	1.1412	0.1633	0.1829	0	2.9666	1.7735	0	3.4929	3.2253	3.7202
NEWGENE88	1.7207	0	1.1412	3.1154	3.1684	1.3508	3.0813	2.878	4.7317	2.0402	0.2911	0.755
Tead4	4.7772	4.178	4.5997	3.0312	3.8845	3.5073	1.9545	1.3584	3.4594	2.8876	1.9301	0.9231
Slc15a1	2.7817	2.4643	3.1303	0	1.8105	2.5109	2.2276	2.759	1.7749	0.586	0	0
She	5.339	5.5232	5.4987	5.1633	5.1371	4.8328	2.189	2.5104	3.8744	2.3934	3.9622	3.2451
Slc9a5	0	0.8648	0.1412	1.7482	0.4217	1.5109	2.8253	2.4989	3.4658	1.6633	2.4248	1.9231
Xlr3a	4.0351	1.0168	2.7261	0	0.2984	2.5109	0.4657	0.8052	1.4049	0	0	0
Ifngr1	0	0.4834	0.1412	1.1633	1.1829	1.5109	2.7876	2.9959	2.6114	2.4138	1.3845	0
Frem2	0.7872	0	0.1412	2.1633	1.7679	0.5109	2.8199	2.9959	2.6114	3.556	1.6403	3.4936
A930004D18Rik	3.3721	3.6453	2.9665	2.7482	3.1829	1.5109	0.9666	0	1.2571	0	1.9622	1.9231
Nkx6-3	2.1091	2.4643	3.7261	1.1633	0.1829	0.5109	0.577	0	0	1.171	0.6403	0.9231
Cnga3	2.7872	2.2012	2.7261	1.1633	2.1829	2.8328	1.3817	2.5104	2.8744	0	0	0
Gm15441	0	0	0.1412	1.3138	1.1829	1.0862	2.8253	2.3964	2.6114	0	0	1.7305
Dpysl3	3.3649	1.2689	0.1412	2.7386	2.1829	2.8125	3.3617	3.2904	3.4088	4.4047	3.7184	4.3406
Pvrl1	2.9571	3.7862	2.7916	1.1633	0.1829	0.5109	2.189	3.1885	1.8744	2.171	2.9622	3.5762
Hist3h2ba	0	1.8793	0.7261	0	0.7679	0.5109	3.2885	1.5104	2.4594	2.9079	3.6403	3.7305
Ctdsp2	3.6211	4.088	3.4588	1.2473	0	2.4964	0.9666	2.2416	0.2894	1.171	0.6403	2.4392
Dact3	0	0	0.1412	0.1633	2.5048	2.0958	2.3817	2.7735	2.6114	0.586	0	1.5081
Smc1b	3.0351	2.1242	2.4631	2.9848	3.2499	3.0958	4.2406	3.1315	4.1264	0	0	0
Lix1	0	1.6631	0	1.1633	3.1519	2.0958	2.9666	1.7735	4.5374	3.1454	2.2253	2.9231
Sema3c	0	0	0	1.1633	0	0	0	1.1885	2.6114	3.2492	2.2253	2.1373
Zfhx4	0	1.4643	0	1.1633	0	0.5109	0.3817	2.1885	0	3.586	2.2253	3.2451
Aqp3	3.3503	3.96	3.6568	4.1806	3.3416	2.5073	2.3635	2.3227	0.2455	1.8788	0.5964	0.9013
Gm14370	3.4876	3.2012	2.4631	3.4823	2.7631	2.5109	1.3744	0.1885	0	2.171	2.9622	0
Mical1	4.5658	4.3946	4.936	3.7079	3.9548	3.6808	3.5134	2.5076	0.2894	1.9422	2.7661	2.5057
Rps19-ps3	0	0.1309	0.7954	2.4852	3.5048	2.5109	4.1365	0	0.7675	3.436	2.8852	0.3698
Sgk3	0	0	0.0672	1.7337	0.0468	0.5109	2.6339	3.1612	1.8404	1.171	0.6403	1.8934
Fam107b	3.1091	3.3387	3.9485	4.4112	4.3528	4.3182	5.0541	4.7121	5.7813	6.0618	6.1481	5.753
Phldb2	4.104	2.8793	2.9485	4.1633	3.8677	3.9703	4.1296	5.1273	4.5327	5.7906	5.847	5.8527
Itpka	2.3721	3.9514	3.7177	1.724	1.1829	0.5109	2.8411	3.3536	1.8744	1.5752	0	0.9231
Plod2	5.0883	4.7198	4.4694	5.6281	5.4899	5.6807	7.414	7.4569	6.9403	5.7623	5.8014	5.8515
Epha1	0	2.2012	2.1412	0.1488	0.1829	1.1338	2.9666	1.1885	1.9675	4.0669	3.8238	3.9464
Pgm2	3.8627	3.9488	3.8249	4.8481	4.1702	4.4964	6.4088	6.5413	6.1765	4.2454	4.6742	3.9222
Dsc2	2.9571	0.8793	2.4631	3.8593	3.9903	2.8328	4.6066	4.4402	4.741	4.5379	4.2313	4.2436
Fam84b	2.2657	0.8793	0	0	2.5048	0.5109	2.7036	0.1885	3.8744	3.0454	3.9622	3.6236
Matn3	0	0	0	0	0	0	2.3817	2.5104	2.594	1.8817	1.9622	0
Robo4	3.5976	2.647	2.5768	2.1633	0.1829	2.0958	0	1.1885	0.1534	1.171	0.6403	3.0931
NEWGENE70	2.7872	3.7541	3.3738	3.6755	4.0188	2.8328	0.9666	1.1885	0.2894	3.2019	3.2096	1.7831
LOC100503600	2.3721	2.6867	0.1412	3.4852	2.9841	3.2507	3.189	4.604	4.8744	3.4919	2.4477	3.5081
Ddit4	3.6931	3.8793	3.9485	4.326	3.7606	4.3182	6.6682	6.5808	5.7363	3.9783	3.8062	4.3155
Zfp711	0	0	0	1.1561	0	1.5109	0	0.1885	1.8744	2.171	3.0463	2.2451
Pogk	0	0.8793	0.1412	0.4502	2.1829	0.5109	1.3817	2.9959	1.8744	2.586	3.6185	2.2451
Kirrel2	3.8397	3.4631	3.8282	2.9074	3.8963	2.6968	1.3817	2.0485	1.2894	0	2.1986	1.5081
Scn2b	2.5945	1.8793	2.9485	1.1633	0.1829	1.5109	0	1.7735	0	0	0	0
Rwdd2a	0	0	1.1484	2.1633	1.1829	0	2.1848	2.7735	3.6114	2.3934	1.9622	1.5081
Gpc6	0	1.8793	0.1412	2.1633	1.1829	0.5109	2.4742	1.1885	2.2894	3.0454	3.4477	2.9213
Mttp	1.3721	0	0.0972	0	2.6554	0.5109	3.4461	3.1277	2.275	1.3473	1.1961	1.4542
Perp	4.9571	3.9105	4.3111	5.6868	5.4683	5.3689	6.3815	6.1885	6.0443	6.7457	6.9531	6.8536
Ptgs2	0.7872	0.8793	0.2917	1.1633	0	2.0958	0.5322	1.1069	0.2894	3.1467	3.0679	3.0931
Ets1	0	0	1.1412	1.7482	0.1829	1.5109	1.7036	0.1885	1.8744	2.7511	2.6403	3.0866
Gm1070	3.431	1.6575	2.8394	2.741	2.5048	1.5109	0.5958	0	0	0	0.3628	1.4442
2810410L24Rik	3.1091	3.7383	3.4631	4.2405	3.3416	3.0958	3.5841	2.5104	3.0968	1.4219	0.6403	0.9231
Arc	2.1091	2.4643	2.7165	2.1633	2.5048	2.5109	2.8411	2.5104	2.8744	0	0	0
Glipr2	2.1091	3.0349	2.1412	3.9706	2.9903	2.0958	4.3359	4.3584	3.9899	4.8339	4.6847	5.0524
Rragd	2.3721	0.8721	3.1212	0.1633	3.1829	2.5109	4.3345	3.6479	3.4594	4.2293	4.8898	4.5201
LOC100502903	3.0666	2.6638	3.7261	0	2.1829	1.5109	2.189	0	0	2.3934	1.9622	2.2451
Dnahc11	1.0322	0	0.1697	0	0.2437	0	1.4261	1.198	1.8943	3.2211	2.6991	2.5458
H2-M5	6.714	6.6071	6.7423	6.4289	6.1923	6.4318	4.2451	4.104	4.4594	4.6474	4.9191	4.1254
Wdr86	1.3721	2.2012	0	2.1633	2.7558	2.9142	3.4691	3.3584	3.9899	2.586	1.2253	3.3826
Ly6g6e	2.5945	3.6867	2.4631	2.7482	2.5048	2.0958	2.9666	3.1885	3.4594	0.586	0	0.9231
Nrk	0.293	0	0	0	0	0	1.957	0.7541	0.5881	2.5733	2.4435	2.5009
D14Ertd668e	3.9849	4.0266	3.9485	3.0093	3.5656	3.3141	2.3726	2.493	3.0592	0.992	2.3274	1.429
F630110N24Rik	3.1573	2.3414	1.7447	2.1954	2.1757	0.5109	0.0324	0	0	1.2229	1.2396	0.3982
Trim16	3.8746	4.1272	4.2286	3.7434	3.3432	3.6808	1.3817	3.3504	0.2894	3.3934	3.3408	2.2451
Gm8523	4.1091	1.4643	3.1412	0.1633	3.1829	2.0958	1.3817	1.1885	1.8205	0.586	0	0.9231
Sct	0	0	1.1412	1.5962	1.7485	0.5109	2.5435	3.1885	2.6114	0.586	0	0.9231
Slc40a1	0.7872	0	0.1412	2.9624	3.3528	1.5109	2.7931	2.0992	3.0927	2.9645	2.2253	2.9231
NEWGENE68	3.9571	3.9176	2.4631	1.7482	1.7679	3.3182	1.9666	1.1885	0	1.171	2.4477	0
Sox11	2.9571	1.8793	0.1412	2.7482	2.1829	3.0958	3.9052	4.1885	3.0968	4.8714	4.0326	3.2451
Atl1	0	0	0	1.1633	0	0.5109	2.7518	3.1259	1.2894	0	0.6403	0
Gm9104	2.2963	1.9419	2.0699	2.3702	5.8233	2.4789	2.1454	6.0823	2.7773	2.073	5.9017	5.4921
Ankrd54	2.3721	3.1227	2.9485	3.276	2.1829	2.0958	0	0	1.2894	2.2931	1.9622	0.0866
Zc3h6	1.1657	0.0299	1.8011	0	0.2115	0.4669	3.6281	2.1885	4.3321	0.586	2.6185	0
Cxcl16	0	0	0	2.1633	1.1829	0	2.5051	1.7443	1.9402	3.2913	1.936	1.9231
Pdk4	0	1.4643	0.9485	2.4852	0.7964	0	3.0267	3.5104	3.0185	1.9079	0.8293	0
Trp53-ps	3.1091	2.2012	2.4012	0.1633	0.1829	0.2593	1.7036	2.6479	0.2894	2.735	1.2253	1.7711
Ror1	0	0	0	0.1633	0	2.5109	0	0.1885	0	2.5429	1.3139	3.2451
Mmrn2	6.5281	6.0768	6.0451	6.9599	6.7221	6.5692	5.774	5.7523	6.1474	3.4929	3.9622	4.0931
4933433P14Rik	0	0	2.1412	2.1633	3.6423	3.3182	1.9666	2.7735	1.2894	2.586	3.7278	2.9231
Tpm4	4.4876	4.9105	4.9945	5.8637	5.7055	6.0344	6.0399	6.1731	5.0443	7.0351	7.5521	6.899
Cdx2	0	0	0	0	0	0	0	0	0	2.3934	1.9622	2.7305
Gys1	3.0245	3.8464	3.5057	0.6069	1.1829	1.6484	2.8133	0.1885	0.2894	2.448	0	2.6191
Gbp1	0	0	0	0	0	0	0	1.1446	1.2894	2.3934	2.4271	2.2422
LOC100504302	2.3721	3.3136	3.8191	2.4476	2.1829	2.7527	2.4014	0	0.055	2.8876	2.6403	1.3885
LOC100502742	3.8298	3.5347	2.9485	1.9624	2.1684	3.6068	0.3817	2.9022	0	2.3934	3.2656	3.4679
Pdgfb	1.3721	0	0.1412	0.1633	2.1829	1.5109	3.0631	3.1885	2.2894	2.102	2.4477	2.4592
Plcxd1	0	0	0	2.1633	0	0	2.2232	1.1885	2.2894	0.8742	3.2253	2.9231
Coch	1.3721	1.8793	0.1412	0.1633	1.1829	0	3.189	3.2811	2.2894	3.7535	3.7278	2.9177
Tnik	2.9361	2.2012	2.7261	1.1633	2.267	0	0.3817	0.1885	0.2894	0.586	1.9622	0.9231
NEWGENE72	3.2466	2.6867	3.6847	1.7191	1.1829	3.3182	1.1557	1.1885	0.2894	1.0454	1.9622	0
Pramef17	2.694	1.6867	2.6006	1.1633	3.5048	0	0.3817	1.1885	0	0	0	0
Vax2os2	2.3721	2.863	1.7261	1.1633	1.1829	0.5109	0	1.1885	0	0	0	0
Ccdc85a	3.1091	2.9307	1.1412	3.9299	3.9872	4.0218	2.7036	3.8967	2.8744	4.7619	4.3335	5.0445
Flnc	3.1019	2.8128	3.2388	3.5801	3.8789	4.2069	3.7705	2.5047	3.8342	4.9212	5.1277	6.0584
Gm10448	2.5945	1.4643	3.4631	2.1633	0.1829	0	0.3817	0.1885	0	2.3934	3.7278	2.7305
Mxra7	2.1091	0	0	2.1633	1.1829	0.5109	3.189	2.7735	3.0968	3.171	1.6403	1.5081
Hal	2.5945	1.8793	2.4631	2.7482	2.1829	0.5109	0.3817	2.5104	0.2894	0	0	0
1110002B05Rik	0	1.4643	1.1412	2.1633	2.5048	1.5109	3.4691	2.9707	3.0968	3.3934	2.8102	1.9231
Gm2789	0.7872	0.8793	3.3111	3.4852	3.1829	2.8328	4.5109	4.0954	3.2894	3.9783	4.3408	1.9231
Gpkow	1.3721	2.5415	0.1412	2.7482	2.1829	2.7649	2.8411	1.1885	2.8744	3.1806	3.6194	4.1711
2310022B05Rik	2.5945	2.2012	2.4631	0.1633	0.1829	0	2.9666	3.1885	1.2894	2.3934	1.2253	2.7305
Gm1564	2.2492	3.8766	4.2907	4.0702	3.1629	3.5109	5.8857	5.805	5.6323	4.9377	5.3202	5.4121
Lrrc31	0	0	0.1412	1.1633	0	0	3.2496	1.9197	1.8744	0.3085	0	0
Lrrc3	0.7872	0	0.1412	2.1633	1.7679	2.0958	2.9666	2.5726	2.2894	3.0454	0	1.5081
Slc9a3r1	5.9571	5.7862	5.4266	5.6551	5.3528	5.4168	3.5516	2.9959	3.7489	4.7559	4.7278	3.6834
Pmm2	2.8333	3.6867	3.1303	2.1776	3.1684	2.2947	1.8372	0	0.9402	2.3934	3.0905	2.9213
Itgb4	1.7872	0.3939	0	3.249	2.5048	3.2956	2.4208	2.5104	0.2894	1.3892	1.2156	1.2793
